learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),GMean/Time
5000.0,0.6395730470000001,8.107256915520503e-07,5000.0,79.92,58.40859003463189,58.7848932676519,50.9765625,83.0634278002699,75.34381139489194,83.45762711864407,74.82926829268294,62.906060004447696,5000.0,4899888.0,99.19383328133155
10000.0,1.504777709,3.006270360353875e-06,10000.0,82.17,62.60239351393364,63.19157720891825,55.96443566312671,85.3528300336811,77.21987990290022,87.32560094133468,74.59886447790669,63.62477218411893,10000.0,9809024.0,42.64186915596098
15000.0,2.809660137,7.975451715696456e-06,15000.0,82.86,63.752890980689145,64.36590436590437,57.320717131474105,86.1364249123753,77.55565255347011,89.00156006240248,73.71390640557584,63.779986372681655,15000.0,14720272.0,22.893541165040514
20000.0,4.6404989169999995,1.7210076753294322e-05,20000.0,83.505,65.01570708855157,65.5276907001045,58.73671044402751,86.72381182341343,78.22585967922906,89.76922436057653,74.10278854570464,64.00625221536589,20000.0,19497168.0,13.91041429954298
25000.0,6.313024935,2.7789303422932593e-05,25000.0,83.92399999999998,65.85555853564003,66.31181894383906,59.76574231654821,87.09501332562695,78.68695974969508,90.35911786261576,74.25683114803324,64.15137352595207,25000.0,24450256.0,10.248275615892688
30000.0,8.378151325,4.340165172858703e-05,30000.0,84.29666666666667,66.60970967812355,67.11573363116014,60.74493792183985,87.4229116053074,79.10216031584085,90.976273823415,74.28142964258934,64.27629879395755,30000.0,29222944.0,7.737221015731238
35000.0,10.281159369,6.026325747915575e-05,35000.0,84.58285714285714,67.15989081628763,67.70409384725879,61.39648018314493,87.68992106583929,79.3778185431476,91.43196955280683,74.28469241773963,64.36549191347535,35000.0,34250008.0,6.3138366763674405
40000.0,13.089767225,8.862219510460961e-05,40000.0,84.755,67.46982484842555,68.1266987246498,61.744040150564615,87.86226114649679,79.50940860215054,91.7407930833818,74.2127712959478,64.41148274557294,40000.0,39030240.0,4.962650780940552
45000.0,15.957246599000001,0.00012116293263609741,45000.0,84.88444444444444,67.70906987885769,68.37455830388693,62.01061156101646,87.98742582650465,79.62008628954938,91.94625918133836,74.20003350645,64.44887366893785,45000.0,43866144.0,4.073237349787975
50000.0,19.390345175,0.00016469540522923075,50000.0,84.99,67.92098057597549,68.5891265224124,62.286432160804026,88.08105833214222,79.73429103772311,92.13569007907502,74.18349914581451,64.48239861095614,50000.0,49015048.0,3.353806374525907
55000.0,23.061540211999997,0.00021557653673961216,55000.0,77.03999999999998,53.293081842889,52.85420944558521,43.94531249999999,79.80295566502463,73.40129749768303,76.88135593220339,77.26829268292683,62.078508482229616,55000.0,53573704.0,2.714784161624495
60000.0,26.782008560999998,0.0002717358917145558,60000.0,78.85,57.1897255017344,56.3287218666116,47.764880217337605,81.22169936961733,75.79260615772004,76.88687174315011,81.7329054554431,62.972171869523685,60000.0,58348120.0,2.3713074714038065
65000.0,31.207922225999997,0.00034402784468394,65000.0,79.76666666666667,59.18574096370961,57.929026892154134,49.61819389110224,81.93344841954878,77.0093174759488,76.68821038555828,84.35114503816793,63.450641333190276,65000.0,63137792.0,2.050470394841073
70000.0,35.905717253,0.0004268568763707858,70000.0,80.095,59.8976167317821,58.39690667781379,50.20637898686681,82.2014575043591,77.42301366755515,76.58918603682412,85.35700887832937,63.62904111236345,70000.0,68153928.0,1.787203943087759
75000.0,40.663736086,0.0005169752245782003,75000.0,80.32000000000002,60.43606812461322,58.755972839299204,50.7458204024427,82.3212360761768,77.80784844384303,76.32087414218138,86.32769492543288,63.76687405456188,75000.0,73213208.0,1.581503625276132
80000.0,45.401307691999996,0.0006125344101327858,80000.0,80.39333333333335,60.682448419042046,58.93891797556721,50.98741771519042,82.28099771056753,78.05551410237278,75.88486970050566,87.15321169707573,63.84318315168452,80000.0,77968472.0,1.4181707130471228
85000.0,51.58560605,0.0007448637174792528,85000.0,80.56571428571428,61.06609334429879,59.286526605614405,51.33781656889398,82.40831738478249,78.29195123508009,75.79448144624169,87.73962804005724,63.94022784724396,85000.0,82711896.0,1.2500517269679008
90000.0,57.654229078,0.000882169994150481,90000.0,80.72749999999998,61.40997798606689,59.704145104803715,51.63739021329986,82.54816290494192,78.48270857174757,75.78352315238175,88.18843306987831,64.02576751243598,90000.0,87458616.0,1.1199689076340746
95000.0,65.101737321,0.0010600970007491083,95000.0,80.76666666666667,61.48161301172801,59.75728832473146,51.66154705389554,82.59986731267969,78.50170148289824,75.82401358284427,88.24482046127213,64.04467855413836,95000.0,92349224.0,0.9921396676534633
100000.0,71.863485945,0.0012299844026008712,100000.0,80.75399999999998,61.45045731350932,59.72291980579274,51.64321608040202,82.5925724932617,78.4811824951363,75.84889361419364,88.1720430107527,64.03532943324065,100000.0,97119072.0,0.8986564797387712
