learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),GMean/Time
5000.0,0.719953854,8.420091597188389e-07,5000.0,96.04,78.64678416255708,77.44874715261959,60.08064516129034,97.7916573722953,80.85106382978722,97.33570159857905,84.2741935483871,67.38135779779266,5000.0,4520792.0,108.30258709419063
10000.0,1.399435589,2.4239580437169223e-06,10000.0,95.66,77.40040975035889,75.45248868778279,56.072874493927145,97.56862745098042,79.81395348837209,96.62671992898358,86.8421052631579,67.72533226056214,10000.0,8999472.0,56.00179711112752
15000.0,2.783815764,7.250606998327417e-06,15000.0,95.85333333333334,78.28210268352207,76.49281934996222,57.80189959294435,97.67875802358564,80.58676654182274,96.7543989353837,87.58480325644504,67.88578683933567,15000.0,13476984.0,28.219031221113433
20000.0,4.134195354,1.3492747240611768e-05,20000.0,95.995,79.08077859409458,77.29591836734693,59.29878048780487,97.75724485510288,81.30688448074679,96.81122448979592,88.51626016260163,68.06751880530051,20000.0,17868168.0,19.052530220009693
25000.0,5.476162492,2.1287354441297914e-05,25000.0,96.448,81.06780997082038,79.59558823529412,63.50184956843402,98.0162630685372,83.04048892284187,97.21274427261044,89.3547061241266,68.29484797492725,25000.0,22451984.0,14.431628810583899
30000.0,6.91656422,3.128456009063277e-05,30000.0,96.82333333333332,82.92676541425837,81.76425564485264,67.27335164835159,98.2278010227801,84.69076305220884,97.5007383343178,90.52197802197806,68.5606877802972,30000.0,26828560.0,11.47066207544917
35000.0,8.473696168,4.395634863270194e-05,35000.0,97.12,84.4090671880378,83.42650443932914,70.22156573116689,98.39480221670168,86.00777345918934,97.71943697611893,91.52141802067943,68.78242053693633,35000.0,31456824.0,9.393086049705767
40000.0,10.778813093,6.533769190636211e-05,40000.0,97.3625,85.79115604110683,84.97150997150995,72.99027137736813,98.52902218318205,87.2569150863631,97.89161633512495,92.47311827956987,68.98636361896003,40000.0,35854560.0,7.406210401974478
45000.0,12.949622997999999,8.793255872106317e-05,45000.0,97.51777777777778,86.67935272482487,85.96733668341709,74.74564775039569,98.61491722983448,88.05986103687869,97.99640190255563,93.12683698846935,69.12366434352005,45000.0,40233736.0,6.17693969506842
50000.0,16.139226291,0.00012505424902342025,50000.0,98.66,92.8659835615225,92.50559284116328,86.65338645418329,99.2514802815328,93.61296472831269,98.75500222321031,97.80876494023904,70.10060041887111,50000.0,44987664.0,5.026234658624777
55000.0,19.017984507,0.00016171896479701996,55000.0,96.82,83.858610360356,82.07440811724912,67.84630940343777,98.2122779401844,85.623869801085,96.93707690600377,95.75328614762388,69.40647719298748,55000.0,49231776.0,4.223176635631287
60000.0,22.132228837,0.0002049431973444759,60000.0,96.42,81.78332125672692,79.97762863534672,63.83838383838377,97.98808587164213,83.77153218495012,96.75915649278579,93.33333333333331,68.93701651256006,60000.0,53650896.0,3.604384103523541
65000.0,26.01823314,0.00026321940215833607,65000.0,96.8,83.46243657844425,81.98198198198196,67.47967479674796,98.20547330641544,85.239852398524,97.1162377994676,93.90243902439023,69.10475324170145,65000.0,57968272.0,3.0735045001553627
70000.0,30.027348684,0.00032812484992507764,70000.0,96.35333333333334,81.4360115041071,79.42061700526712,62.99052774018946,97.95077361105908,83.45932869670395,96.67948528324213,93.36941813261164,68.92911275648588,70000.0,62579912.0,2.656375309965279
75000.0,34.156615735,0.00039994513025348613,75000.0,96.21,80.45148104015449,78.21839080459769,60.9680741503604,97.87413058110836,82.55064456721915,96.62753350315651,92.3274974253347,68.73045739126344,75000.0,67232072.0,2.3285101422081116
80000.0,38.4204319,0.0004789214682019043,80000.0,95.74799999999999,78.26154459631655,75.58566835094166,56.09252375051635,97.61214816811555,80.61280320992158,96.22658222241907,91.2845931433292,68.4673599910476,80000.0,71598000.0,2.062172891389084
85000.0,43.02136178600001,0.0005693741603591789,85000.0,95.18666666666668,75.97048829831562,72.28406909788866,50.10366275051831,97.28805919693501,78.6200769914125,95.55448978086037,91.74153420870769,68.42806880030446,85000.0,75993816.0,1.8405764619617495
90000.0,48.035707028999994,0.0006736350003040812,90000.0,95.07142857142857,75.6200640472527,71.94209499024073,49.48755490483162,97.21940132501571,78.337310059023,95.47570049073929,91.33235724743778,68.33887212600473,90000.0,80372848.0,1.6462938401337277
95000.0,53.680242837,0.0007973613519899613,95000.0,95.155,75.9919676407897,72.69653423499578,50.7996953541508,97.26711227684237,78.67048206031257,95.63794681234577,90.73368875349074,68.25899859466085,95000.0,84729832.0,1.4714624182328584
100000.0,59.483230075,0.0009311106471150056,100000.0,95.06444444444445,75.70890313651152,72.18186372745487,49.89848860816598,97.21333483896065,78.43479949509661,95.49633938915869,91.11211369275884,68.30235228048839,100000.0,89092728.0,1.3287548134141511
