learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.508432,2.9180049465762245E-8,5000.0,81.58,61.078266408236495,55.72115384615385,39.046988749172726,85.44333807491702,74.92512932208004,77.47205503009458,91.06551952349437,64.91101111398376,5000.0,221848.0,10.0,0.6448850237526205,0.3551149762473796,6342.2,72.23387940110464,16299.999999999998,2853.057307521179,8.0,1.9436506316151,4.5,0.97182531580755,4.5,0.97182531580755,3.3000000000000003,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.964139,7.462966798494259E-8,10000.0,82.62,63.402490273127356,57.74373936299539,41.26394052044613,86.26738305941846,76.33442265795206,77.53160062491123,94.72794863129435,65.6238427052633,10000.0,385520.0,10.0,0.6526208207563008,0.3473791792436993,12804.800000000001,80.50231190607033,32082.4,5962.071586286095,16.6,3.9777157040470126,8.8,1.9888578520235063,8.8,1.9888578520235063,6.7,0.8232726023485645,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.365741,1.2999641346848673E-7,15000.0,84.17999999999999,66.37404957448506,61.65158371040723,46.08043626448534,87.62192895519273,78.08661926308986,79.24332484196623,96.0690752101795,66.20279451279714,15000.0,532912.0,10.0,0.7912023872410727,0.2087976127589274,19286.5,106.33307209999283,46282.399999999994,4755.80251902873,24.6,3.098386676965933,12.8,1.5491933384829666,12.8,1.5491933384829666,8.7,0.4830458915396481,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.731195,1.9786633755183883E-7,20000.0,85.27,68.54953565033438,64.44605358435916,50.00848464279654,88.51372426699939,79.4732441471572,80.46359963138867,96.77583573731546,66.56565093362795,20000.0,717872.0,10.0,0.7650920169589193,0.2349079830410807,25696.2,109.07571274628968,64137.6,4443.311357785117,34.0,2.8674417556808756,17.5,1.4337208778404378,17.5,1.4337208778404378,10.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.140994,2.902641793961326E-7,25000.0,86.056,70.24075607369778,66.59639708700652,53.2645126692586,89.10284463894966,80.64408661854526,81.24964369192178,97.35889529427537,66.82225284031456,25000.0,871552.0,10.0,0.7449127424065828,0.2550872575934173,31974.1,97.77349106764845,79053.6,4029.1225182000435,40.6,2.2705848487901865,20.8,1.1352924243950933,20.8,1.1352924243950933,11.299999999999997,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.61045,4.122306391803755E-7,30000.0,86.51666666666667,71.12479798066325,67.67103580562659,54.67787114845937,89.49977935259456,81.16589840294269,81.79833926453144,97.65826330532212,66.98070665681529,30000.0,1004264.0,10.0,0.6768390803826604,0.32316091961733956,38369.5,128.50788994368207,91829.59999999999,6539.08541345382,48.0,4.546060565661952,24.5,2.273030282830976,24.5,2.273030282830976,11.9,1.3703203194062976,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.087736,5.518977730804019E-7,35000.0,86.96571428571428,71.97391581259193,68.65466538408687,56.03739038257686,89.89052874174533,81.65956420358607,82.37014173739999,97.87029006456586,67.12682619526375,35000.0,1131144.0,10.0,0.7068386503099648,0.29316134969003516,44817.6,145.5611364494125,104132.0,7234.492441691324,53.6,4.718756898449704,27.3,2.359378449224852,27.3,2.359378449224852,12.799999999999999,1.3984117975602017,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.501229,6.825957170087429E-7,40000.0,87.2275,72.53111145994289,69.36315663228592,57.052790854068604,90.09134811194508,82.03523330637505,82.64304013663536,98.05817081371889,67.21257526504141,40000.0,1221808.0,10.0,0.5713378624480061,0.4286621375519938,51138.2,183.807145309063,112952.0,9134.66345545606,57.2,6.89283041363351,29.1,3.446415206816755,29.1,3.446415206816755,13.399999999999999,1.429840705968481,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.85185,8.043361010940538E-7,45000.0,87.52666666666667,73.17599848176056,70.12136697540721,58.245927248382046,90.31723852403871,82.47635103493491,82.9546534841715,98.25931711671501,67.30786926520675,45000.0,1342144.0,10.0,0.8110413935790093,0.18895860642099066,57456.3,139.35330797811804,124565.6,8442.143635093847,63.4,4.695151163109069,32.2,2.3475755815545343,32.2,2.3475755815545343,13.799999999999999,1.4757295747452435,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.180656,9.28098413998054E-7,50000.0,89.53999999999999,77.3456637607896,74.90403071017273,65.11007338225482,91.92776663065287,85.14626526554956,85.06141102542131,100.0,68.01863917806304,50000.0,1454960.0,10.0,0.6755881803394153,0.3244118196605849,63853.09999999999,188.8970619146854,135493.6,9443.700254078847,68.6,5.561774297230456,34.8,2.780887148615228,34.8,2.780887148615228,14.2,1.3984117975602022,0.0,0.0,0.0,0.0,1.0,0.0
