learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.636036,3.8851885621746386E-8,5000.0,91.72,73.39153773774083,73.84712571067593,59.96131528046422,94.87369985141159,78.48232848232848,96.59606656580938,73.0174081237911,65.11786903177969,5000.0,236120.0,10.0,4983.3,68.98478093028926,17644.8,1038.7904076911334,9.6,0.966091783079296,5.3,0.483045891539648,5.3,0.483045891539648,4.199999999999999,0.6324555320336761,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.186396,8.178983185854223E-8,10000.0,92.52,77.68724739682068,76.61038148843028,63.74212312166749,95.24838012958963,82.43306716768436,94.45634370669018,85.07028599127484,66.99377390809632,10000.0,301576.0,10.0,9980.100000000002,62.197624106105835,24066.399999999998,2077.704887610365,11.4,1.577621275493231,6.2,0.7888106377466155,6.2,0.7888106377466155,4.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.683119,1.345591656304896E-7,15000.0,92.79333333333334,78.84134114084151,77.55864646045258,64.65009810333554,95.39588568508029,83.42278791596381,93.77826159772232,88.94702419882276,67.58795857927376,15000.0,410648.0,10.0,15012.599999999999,85.42599136094356,34526.4,1803.1431322985848,17.999999999999996,1.414213562373096,9.499999999999998,0.707106781186548,9.499999999999998,0.707106781186548,5.8,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.043629,1.7715702703222634E-7,20000.0,92.94,79.3936385506145,78.00280417510515,65.16160868492474,95.48015364916773,83.88127853881278,93.52229259421834,90.64890204786577,67.85484408686018,20000.0,456744.0,10.0,20015.699999999997,77.68747932868267,39093.6,1942.0879485749342,18.6,1.264911064067352,9.8,0.632455532033676,9.8,0.632455532033676,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.33266,2.133110390003357E-7,25000.0,93.12,79.86628214699226,78.4136546184739,65.66866267465072,95.60034787947,84.22886484503942,93.48174087043522,91.67664670658682,68.03645853089026,25000.0,483520.0,10.0,24972.3,79.35580914113629,41730.4,2186.048855812697,19.2,1.4757295747452437,10.1,0.7378647873726218,10.1,0.7378647873726218,6.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.632231,2.5523440351916685E-7,30000.0,93.20666666666668,80.18572348515353,78.72651356993738,66.19110816191109,95.65031800913476,84.49718545565192,93.47572167528784,92.13669542136695,68.11982404129043,30000.0,540952.0,10.0,29947.7,105.47885517433784,47310.4,3389.3423550889634,21.6,2.118699810942761,11.3,1.0593499054713804,11.3,1.0593499054713804,7.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.922113,2.98868144866493E-7,35000.0,93.33428571428571,80.56542695249567,79.10808632578131,66.83724235963041,95.73140609276369,84.79635060280222,93.54907920615054,92.48045486851457,68.19632212859158,35000.0,581840.0,10.0,34964.7,95.31357604128526,51290.40000000001,2707.093693736267,23.2,1.4757295747452437,12.1,0.7378647873726218,12.1,0.7378647873726218,7.9,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.21219,3.4502867336488434E-7,40000.0,93.3675,80.67603855731224,79.169283919598,66.9201995012469,95.7517334144662,84.88405219075837,93.48968105065666,92.88029925187033,68.25869547217536,40000.0,615120.0,10.0,39927.5,131.33946686185203,54485.6,3579.560842089742,25.2,1.9888578520235065,13.1,0.9944289260117533,13.1,0.9944289260117533,8.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.507922,3.9628407460533914E-7,45000.0,93.39777777777778,80.71057456127974,79.20923722883137,66.94849260206921,95.77568924087527,84.89501245614927,93.52697786787371,92.88018689509401,68.2655046057245,45000.0,669952.0,10.0,44919.2,112.1752597005638,59802.399999999994,3153.506802839586,27.599999999999998,2.1186998109427604,14.299999999999999,1.0593499054713802,14.299999999999999,1.0593499054713802,9.3,0.9486832980505139,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.797381,4.4996278469347294E-7,50000.0,93.51,81.03256069520958,79.54488149268786,67.49474105980168,95.84799437016186,85.14534218356603,93.59772096858835,93.15836922768706,68.32936597764453,50000.0,716832.0,10.0,49915.3,145.87365156950807,64381.6,3295.7886663639915,29.200000000000003,2.573367875415838,15.100000000000001,1.286683937707919,15.100000000000001,1.286683937707919,9.8,0.9189365834726816,0.0,0.0,0.0,0.0,1.0,0.0
