learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.634542,2.1549148025612037E-8,5000.0,72.8,41.81462722086294,21.02206736353078,-29.154795821462493,79.7859690844233,58.43520782396089,68.00101342791994,90.78822412155746,63.00580083402587,5000.0,131272.0,10.0,0.8214245915073347,0.1785754084926654,1813.3,39.55600811226759,7448.8,1463.8054515542701,3.8,1.0327955589886444,2.4000000000000004,0.5163977794943223,2.4000000000000004,0.5163977794943223,1.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.10159,4.247808409647809E-8,10000.0,69.37,37.60765378705041,6.814724672954055,-52.00992555831265,76.68417446905687,55.36937199475448,63.080776455854725,94.29280397022333,62.72431355265636,10000.0,173216.0,10.0,0.8102316103322441,0.1897683896677559,3471.6000000000004,45.704850216725696,11507.2,2057.005201743544,5.800000000000001,1.398411797560202,3.4000000000000004,0.699205898780101,3.4000000000000004,0.699205898780101,2.3000000000000003,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.515438,6.617321714344952E-8,15000.0,68.75333333333333,37.43717243392028,4.967558799675582,-54.32993085281527,75.9357190532423,55.459469732965886,61.815598094123544,96.08165953243332,62.828587765951916,15000.0,221320.0,10.0,0.9231482530706044,0.07685174692939546,5228.799999999999,55.45328364187917,16168.0,1640.4097049213042,7.999999999999998,1.0540925533894592,4.499999999999999,0.5270462766947296,4.499999999999999,0.5270462766947296,3.4000000000000004,0.5163977794943224,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.848501,8.916305392566655E-8,20000.0,68.44,37.269481244847,3.427172582619335,-56.62531017369725,75.59730920900023,55.34172916371869,61.221039448966806,97.0471464019851,62.902342136631106,20000.0,266816.0,10.0,0.6886445643386141,0.311355435661386,6924.5,60.48369844658785,20554.399999999998,2482.384659959049,10.400000000000002,1.6465452046971287,5.700000000000001,0.8232726023485644,5.700000000000001,0.8232726023485644,4.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.208305,1.1933115729441246E-7,25000.0,69.16799999999999,38.38590840002145,5.492888670917097,-52.48269040553906,76.23041815714814,56.13475984520827,61.97041865129105,97.56676557863501,63.15401496142705,25000.0,324104.0,10.0,0.8579198531409129,0.1420801468590871,8673.4,56.71409779665789,26106.4,2220.499403287468,13.0,1.6329931618554518,7.0,0.8164965809277259,7.0,0.8164965809277259,5.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.54805,1.5231326064508823E-7,30000.0,70.01666666666667,39.46833073238947,7.6488706365503205,-49.294605809128626,77.0588385319697,56.736087730267904,63.01147028154327,97.89211618257262,63.4238887297436,30000.0,375256.0,10.0,0.8180440438749237,0.18195595612507628,10335.099999999999,101.2087501706799,31031.2,2404.1843523324083,15.799999999999999,1.6865480854231356,8.4,0.8432740427115677,8.4,0.8432740427115677,6.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.857063,1.8666013126365013E-7,35000.0,70.90571428571428,40.71078651627823,10.23448519040901,-44.85064011379803,77.86929780714145,57.54783841247342,64.05076868072935,98.17923186344238,63.68477065676137,35000.0,429648.0,10.0,0.6371370966943215,0.3628629033056787,12074.6,113.57934084448009,36268.0,2835.990283637955,18.8,2.2010098692292237,9.9,1.1005049346146119,9.9,1.1005049346146119,7.1,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.146237,2.227703876234591E-7,40000.0,71.8275,41.92807569812666,12.684022935068956,-40.70420776626297,78.73091368929656,58.289225302587255,65.19646150479822,98.31439630415782,63.9356820971193,40000.0,482696.0,10.0,0.8130286223479986,0.1869713776520015,13740.599999999999,127.94286919472252,41421.6,2012.9855770306287,21.0,1.3333333333333333,11.0,0.6666666666666666,11.0,0.6666666666666666,7.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.445509,2.6457572555583383E-7,45000.0,72.80888888888889,43.25715855741778,15.49723756906079,-36.22801157871297,79.63246554364471,59.10974468653924,66.41123882503193,98.46359385437542,64.2017976149047,45000.0,539968.0,10.0,0.8603497805872895,0.13965021941271044,15413.7,112.10515896544038,46931.2,2568.788248701451,24.2,2.14993539954628,12.6,1.07496769977314,12.6,1.07496769977314,8.299999999999999,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.771194,3.156598341651261E-7,50000.0,73.55199999999999,44.19690075967208,17.52011476330066,-33.13198429477505,80.32962456119473,59.64848041010619,67.39211820201163,98.39927514346118,64.3800033677913,50000.0,606304.0,10.0,0.7672753651547991,0.23272463484520078,17070.199999999997,126.06153700122482,53320.0,3349.8194976247096,27.8,2.6997942308422114,14.4,1.3498971154211057,14.4,1.3498971154211057,8.9,0.875595035770913,0.0,0.0,0.0,0.0,1.0,0.0
