learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),GMean/Time
5000.0,0.61500691,7.79585545009747e-07,5000.0,79.92,58.40859003463189,58.7848932676519,50.9765625,83.0634278002699,75.34381139489194,83.45762711864407,74.82926829268294,62.906060004447696,5000.0,4899888.0,109.83391159949413
10000.0,1.488893089,2.997160444580788e-06,10000.0,82.17,62.60239351393364,63.19157720891825,55.96443566312671,85.3528300336811,77.21987990290022,87.32560094133468,74.59886447790669,63.62477218411893,10000.0,9809024.0,45.88668536869963
15000.0,2.769371865,7.873409157166788e-06,15000.0,82.86,63.752890980689145,64.36590436590437,57.320717131474105,86.1364249123753,77.55565255347011,89.00156006240248,73.71390640557584,63.779986372681655,15000.0,14720272.0,24.730170331887887
20000.0,4.240704162,1.529470819066365e-05,20000.0,83.505,65.01570708855157,65.5276907001045,58.73671044402751,86.72381182341343,78.22585967922906,89.76922436057653,74.10278854570464,64.00625221536589,20000.0,19497168.0,16.207214623867436
25000.0,5.792960981,2.5113061323113073e-05,25000.0,83.91999999999999,65.84790629790977,66.30908481394569,59.75975975975975,87.09138783636247,78.6827871460388,90.35847547974414,74.24939951961571,64.14980027236247,25000.0,24449920.0,11.89100786950389
30000.0,7.64695586,3.911226573591688e-05,30000.0,84.20666666666666,66.43615367747545,66.9318816303741,60.52324612564571,87.33832175307322,79.01682905225864,90.80351189153143,74.31689436854381,64.2495926563109,30000.0,29187520.0,9.022060945080241
35000.0,9.766468785,5.788439648031787e-05,35000.0,84.44,66.86228586653735,67.40873728306404,61.04156234351528,87.57131772331005,79.19945000381941,91.27931871164185,74.15778556612545,64.31117793155543,35000.0,34235752.0,7.070870105416021
40000.0,12.168775930999999,8.213103015162763e-05,40000.0,84.61999999999998,67.1851252413006,67.84108729743856,61.4028483593701,87.75233923949833,79.33490090695332,91.60397356498608,74.07941785333419,64.35903033341947,40000.0,39014432.0,5.679192100731443
45000.0,15.51480548,0.0001200943014506052,45000.0,84.66666666666667,67.23189318633096,67.88606534487573,61.45682046698693,87.82209671726086,79.30413917216556,91.82167109536465,73.83824843610365,64.35447139311073,45000.0,43856728.0,4.4540629810378976
50000.0,19.051527792999998,0.000164932058262371,50000.0,80.7,58.143613296607285,60.43460434604347,52.369200394866745,85.15612982618059,72.42069162617891,93.104608139926,62.50616674888998,62.372023954818076,50000.0,49005552.0,3.5154748040183743
55000.0,23.46875558,0.00022613801648556958,55000.0,77.60000000000002,51.71374806165189,53.235908141962426,44.70501110836832,82.57080610021788,68.66256295467264,89.20645595158037,60.56268509378084,61.19010153720967,55000.0,53560704.0,2.7997230520846577
60000.0,27.044755071999997,0.0002801026696328599,60000.0,78.28,56.122999111793746,55.031055900621126,45.59118236472947,80.6967650195521,75.17146776406037,75.61625582944703,82.28228228228228,62.82884252310584,60000.0,58333000.0,2.494594540335671
65000.0,31.856242471999998,0.00035864508433570497,65000.0,79.16,57.88443748320631,56.40167364016736,47.53272910372608,81.52154637347049,76.10639761522587,76.28609359442416,83.517866129844,63.20679546620524,65000.0,63099696.0,2.13055713655241
70000.0,36.267410605,0.00043642225192231705,70000.0,79.82000000000002,59.26160001378135,57.587221521647756,49.06612821807169,82.07921378248771,76.90899382103898,76.55438983986748,84.79394449116904,63.511482097931825,70000.0,68155496.0,1.8804407740459523
75000.0,41.418880163000004,0.0005339945549694776,75000.0,80.00500000000002,59.704079821350966,57.89639924194569,49.6030245746692,82.17199411528688,77.23831749103535,76.3989057448396,85.48569988660702,63.61694067452604,75000.0,73214616.0,1.649295175723324
80000.0,47.057189045,0.0006477465196536656,80000.0,80.132,60.035068081190865,58.23242515977128,50.07036590269402,82.19777068922261,77.52386985836463,76.19269102990033,86.09045226130655,63.69520062202624,80000.0,77985240.0,1.4534653740492716
85000.0,52.648297801000005,0.0007674474762964508,85000.0,80.42666666666666,60.69928308183694,58.870911255866076,50.75890985324946,82.39808153477216,77.95795795795796,76.04714214574227,87.0629663788044,63.857283947202646,85000.0,82756488.0,1.3024170398789985
90000.0,59.416374045,0.000920897158704502,90000.0,80.68571428571428,61.26226354299836,59.51610971373818,51.321379707640226,82.59974259974261,78.29855537720707,76.00303159490312,87.8032975736194,63.99342332781599,90000.0,87640152.0,1.1565200323492113
95000.0,67.111155506,0.0011047478709612527,95000.0,80.8875,61.70436273968242,59.92556481627091,51.77568914401061,82.75161879836655,78.5716287804468,75.9536135845931,88.40113528855251,64.10045804694877,95000.0,92357336.0,1.025629201936165
100000.0,74.17718985100001,0.0012822957376972294,100000.0,80.96444444444445,61.89282892913974,60.08387698042871,52.00313778226033,82.78329380552317,78.71589723202305,75.84987661596256,88.7444674771696,64.1471636343206,100000.0,97127472.0,0.928605054000717
