learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.631586,3.689647139360507E-8,5000.0,82.6,65.09823202887908,63.35299073294017,55.68008150789606,84.38061041292639,80.36117381489841,77.40447957839262,90.63136456211812,64.81432020404726,5000.0,225816.0,10.0,0.5481083748400002,0.4518916251599997,5809.8,64.02916002364341,16642.4,3485.7567710135295,8.8,1.9888578520235065,4.9,0.9944289260117533,4.9,0.9944289260117533,3.6999999999999997,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.292493,1.0194437229384979E-7,10000.0,83.96000000000001,68.03961875808176,66.2102380450811,58.98747123497827,85.42083257589529,82.17381640364526,77.18462549277267,94.5040899795501,65.51502031449024,10000.0,380448.0,10.0,0.3832477110924517,0.6167522889075482,11640.4,54.33271983293707,31580.0,3043.2292789805447,16.6,1.8378731669453627,8.8,0.9189365834726814,8.8,0.9189365834726814,6.0,0.4714045207910316,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.886496,1.8630250703543426E-7,15000.0,85.06666666666666,70.2482090971449,68.51279167838065,61.81384248210024,86.42424242424241,83.40740740740739,78.06854264754189,95.96045679222772,65.9600256670223,15000.0,548960.0,10.0,0.6722082667926952,0.32779173320730487,17546.0,83.62083738186602,47885.6,4466.379373845342,24.599999999999998,1.837873166945363,12.799999999999999,0.9189365834726815,12.799999999999999,0.9189365834726815,7.9,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.379353,2.7063161298632625E-7,20000.0,85.67,71.45529008521613,69.86647040269163,63.54617145764438,86.94186258429013,84.12364280966096,78.61085935568921,96.56619610835558,66.17723465513741,20000.0,661392.0,10.0,0.3494857849245804,0.6505142150754197,23384.7,85.11045111435429,58787.2,4190.32570465723,29.6,2.836272984824353,15.3,1.4181364924121764,15.3,1.4181364924121764,8.8,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.961047,3.8944346074014907E-7,25000.0,86.632,73.32436206034008,71.96308724832214,66.17408906882591,87.84019793334305,85.15722153135546,79.83993650373702,97.02459265256553,66.4952120750627,25000.0,789528.0,10.0,0.6755828652282521,0.3244171347717479,29142.3,82.03258160294877,71168.8,2300.708914902342,36.0,2.3570226039551585,18.5,1.1785113019775793,18.5,1.1785113019775793,10.1,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.498978,5.126551600338685E-7,30000.0,87.32666666666667,74.67850087774093,73.50338002648267,68.03161523585301,88.49064600108977,85.90076392494251,80.7246216723738,97.37682865310241,66.72732767117911,30000.0,885376.0,10.0,0.4441244116801476,0.5558755883198523,34919.5,99.07040145494767,80480.0,4194.201288021885,40.0,3.162277660168379,20.5,1.5811388300841895,20.5,1.5811388300841895,10.700000000000001,1.2516655570345727,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.971628,6.334040623944667E-7,35000.0,87.87428571428572,75.74970915323719,74.71250670321159,69.48299417559502,89.00176220586711,86.48923978097541,81.4147544092547,97.67040552200173,66.91135178937435,35000.0,987520.0,10.0,0.5357204047584495,0.46427959524155044,40743.799999999996,104.68131532311891,90351.2,6336.929729766617,45.0,4.714045207910317,23.0,2.3570226039551585,23.0,2.3570226039551585,11.4,0.8432740427115677,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.373935,7.48589112661365E-7,40000.0,88.31750000000001,76.6361676075238,75.71710663063813,70.79557527654522,89.37785556793125,87.02196795067626,81.9234936244687,97.90651168603924,67.05035520236041,40000.0,1106728.0,10.0,0.7243038387903054,0.2756961612096947,46409.29999999999,139.72198586240455,101838.40000000001,5813.2022003558595,51.4,3.864367132317183,26.2,1.9321835661585915,26.2,1.9321835661585915,12.1,1.1972189997378646,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.735867,8.608741858125561E-7,45000.0,88.57777777777778,77.14376142041161,76.26414223043177,71.43651014170602,89.62915136596585,87.28918344131758,82.25077766256851,98.07179373194043,67.14212005040297,45000.0,1199216.0,10.0,0.506055673263831,0.4939443267361691,52213.5,125.51781635378403,110815.2,6566.7200810010345,55.400000000000006,4.087922591134904,28.200000000000003,2.043961295567452,28.200000000000003,2.043961295567452,12.399999999999999,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.217944,8.792480006006857E-7,50000.0,86.22,71.96229127573935,71.32750728256345,65.6359102244389,87.93133648624978,83.9431367979492,83.86234547276979,89.73592426507224,65.87834806251635,50000.0,147328.0,10.0,0.7571829423922573,0.2428170576077428,58008.09999999999,177.2038687814439,9079.199999999999,1973.1547666955405,66.8,4.263540521418528,33.9,2.131770260709264,33.9,2.131770260709264,1.8,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
