learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.382857,1.1734896587828796E-9,5000.0,78.94,50.15488434797098,49.32627526467756,29.376257545271635,84.89022815325012,65.25899043220059,84.29752066115702,66.33132126089872,61.36547113851073,5000.0,11848.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.576285,2.5217663931349913E-9,10000.0,79.34,53.39287254750859,50.43186180422264,31.453218314532183,84.59818100492024,68.63042818099,81.21958202118523,74.9834107498341,62.49059784700002,10000.0,26944.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
15000.0,0.699689,3.708343756281667E-9,15000.0,79.88666666666666,54.59210617253566,51.85126077242258,32.171762589928036,85.03100967501861,69.35500253936007,81.20735405610311,76.75359712230215,62.841258576353574,15000.0,37168.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
20000.0,0.826698,5.151437212609582E-9,20000.0,80.47,55.8878779177032,53.566333808844504,34.2756183745583,85.46875000000001,70.22865853658537,81.71729387493775,77.51977115934713,63.094584758575934,20000.0,43920.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
25000.0,0.983481,7.511697413606776E-9,25000.0,80.50399999999999,55.74462963895432,53.598629093678596,34.5068529965063,85.55081228507055,70.03934103761988,82.1790636746782,76.55200214995969,62.99425883059462,25000.0,58192.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
30000.0,1.11829,9.681770907094081E-9,30000.0,80.70666666666668,56.20753169018364,54.154455445544556,35.40899453186029,85.69734110902442,70.36657792340773,82.41836589191502,76.6878696574043,63.06866011525045,30000.0,62224.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
35000.0,1.250993,1.2076931533714136E-8,35000.0,81.17714285714285,57.08617806766018,55.34770231801546,37.023229136793816,86.0953989024905,70.87533156498674,83.1166714210033,76.62747347289934,63.19496516612353,35000.0,69768.0,33.0,17.0,17.0,10.0,0.0,0.0,1.0
40000.0,1.36083,1.4196229214883514E-8,40000.0,81.6375,57.951747589487326,56.52817234848484,38.669004676018695,86.48200975430201,71.38125852328074,83.8388524122181,76.48630594522378,63.30978564910836,40000.0,74584.0,33.0,17.0,17.0,10.0,0.0,0.0,1.0
45000.0,1.487246,1.7047748501516052E-8,45000.0,82.12,58.8779475404045,57.65040265277121,40.3204272363151,86.88251980827548,71.92798827716139,84.54216638111556,76.45749888740542,63.442821750872845,45000.0,87192.0,43.0,22.0,22.0,11.0,0.0,0.0,1.0
50000.0,1.592816,1.9751977893627353E-8,50000.0,86.9,68.04800740544748,68.75,56.30420280186791,90.80701754385966,77.21739130434784,92.40217080834047,74.04936624416277,64.50804931411724,50000.0,99016.0,47.0,24.0,24.0,11.0,0.0,0.0,1.0
