learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),GMean/Time
5000.0,0.386846376,4.873618924552699e-07,5000.0,78.9,57.818303481753205,58.06836248012719,56.88598283612587,79.26901159363331,78.51761352066791,81.46203554119549,76.38668779714739,62.8189309321527,5000.0,4869848.0,97.10858611697701
10000.0,0.856637141,1.6651761111777194e-06,10000.0,80.28999999999998,60.59359048251437,60.90836969456564,60.20593579648696,81.15858904502437,79.33745675647344,85.20674427940587,75.40852929453965,63.36704063903126,10000.0,9691136.0,44.235622947784655
15000.0,1.539567926,4.236647846896223e-06,15000.0,81.32000000000002,62.638716764458465,62.69471441885236,62.28802153432033,82.45240480961924,80.03135689851767,87.74993335110636,74.88663643638304,63.76452183375357,15000.0,14554840.0,24.76771119484234
20000.0,2.237341068,7.730787315735993e-06,20000.0,81.77,63.525354700419314,63.411941796287,62.71221108611168,83.01183487093466,80.33229043046714,88.8312724371759,74.6690734055355,63.93362688028723,20000.0,19356568.0,17.088453858984806
25000.0,2.9332173580000003,1.2099628242555825e-05,25000.0,82.244,64.46425871338937,64.42253746894282,63.65050769734686,83.53059028679553,80.73935870178329,89.66148944643568,74.7609481719566,64.11365642715916,25000.0,24268144.0,13.071093511719553
30000.0,3.850290331,1.898111343378425e-05,30000.0,82.35,64.68644618719928,64.54874129619711,64.05295315682281,83.64276667387477,80.83535415686416,90.03125623462125,74.63075586446568,64.1603483662392,30000.0,29005520.0,9.965035657864652
35000.0,5.038506081,2.9394975614340417e-05,35000.0,82.67142857142858,65.31575348526067,65.19168962350781,64.70348600360822,84.01128305169642,81.08647519256556,90.6164695177434,74.64974735875056,64.27795440049681,35000.0,33878088.0,7.628969569717687
40000.0,6.286101911,4.188892755457643e-05,40000.0,82.8225,65.61663664782034,65.52433517310587,65.06685647465554,84.1918785229495,81.19337621458875,91.03890934421335,74.52517334941213,64.3358536691683,40000.0,38710456.0,6.12036429412348
45000.0,8.240024555,6.386675614576388e-05,45000.0,82.96666666666667,65.88941021335053,65.85746102449889,65.31831138862495,84.38677611879494,81.26237563253233,91.38798199947055,74.42016656219215,64.38325647279399,45000.0,43479024.0,4.672508024046546
50000.0,10.459566152,9.165124396849677e-05,50000.0,83.89999999999998,67.52474493410226,67.63168476075592,66.16225304749894,85.61215370866844,81.72531214528944,91.79762361057877,75.28230865746549,64.62970142822189,50000.0,48388424.0,3.6950821744831157
55000.0,14.076986589,9.97204953485872e-05,55000.0,84.74000000000002,68.85895285106695,68.67816091954022,66.43202815662121,86.81071737251513,81.89798339264533,92.28224917309817,75.73497147871873,64.810728404296,55000.0,8622568.0,2.7532321235152435
60000.0,14.811357555999999,0.0001021001208564272,60000.0,86.04,70.29119734136012,71.16893845518379,65.37698412698414,88.85696040868454,81.31691648822269,93.38926174496643,75.1980198019802,64.92058255032579,60000.0,12525512.0,2.6211577826709713
65000.0,15.51771046,0.00010495399763023149,65000.0,85.58,69.13255325030575,69.88304093567251,63.94098524631158,88.59538120847833,80.39695486677543,93.3966983491746,73.86959780164877,64.66573593310899,65000.0,15617656.0,2.4920238971407485
70000.0,17.232821522000002,0.00011393899935402608,70000.0,83.86666666666667,65.78993140570246,66.1301609517145,59.46398659966501,87.0032223415682,78.73462214411248,89.74074894748505,74.99163039839306,64.17405615704021,70000.0,20250152.0,2.2269410575179753
75000.0,19.399159084,0.0001279505750073946,75000.0,83.255,64.50509966012017,64.76961918788133,57.93770409444864,86.50195477812261,77.95114885772598,89.17234502243643,74.31584232990208,63.9312496656249,75000.0,25001336.0,1.97076985929589
80000.0,21.486915762,0.00014402900445411503,80000.0,83.22,64.41804257360256,64.74789915966387,57.94486215538849,86.4864864864865,77.87097114522341,89.36821782837359,73.96532718709291,63.90100645049858,80000.0,29769128.0,1.7784400895048806
85000.0,23.750803393,0.00016426496278615363,85000.0,83.52666666666667,64.98812439497894,65.40427021351069,58.6512717536814,86.787509357288,78.12887236679056,89.95233872755487,73.82903981264639,63.98854947180027,85000.0,34551848.0,1.6111262856899433
90000.0,26.236293053,0.00018959977655606886,90000.0,83.76285714285714,65.44807913485471,65.98228181491679,59.15624550812131,87.00226425451133,78.37272139133084,90.21914429371029,73.9833309383532,64.07075683025437,90000.0,39401080.0,1.4603703380689368
95000.0,29.330411958000003,0.00022495949736934433,95000.0,83.865,65.63895664496687,66.18286612522924,59.35768261964736,87.09974015590645,78.46513179846512,90.34665782053408,74.02417527071265,64.10359449579383,95000.0,44174760.0,1.3069827091095714
100000.0,32.561005922,0.00026595236041409236,100000.0,84.02888888888889,65.96828420657536,66.52226569778273,59.790757524896485,87.24510621683497,78.64380590140551,90.62753484256321,74.01834657120483,64.15720563852669,100000.0,49048784.0,1.1782928685641456
