learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.777717,4.0208607036620374E-8,5000.0,78.25999999999999,33.859214439744335,-22.134831460674146,-119.59595959595968,86.53536479623436,43.59107420861442,77.53607103218646,84.84848484848484,63.71509944288546,5000.0,199848.0,10.0,0.9394917708926401,0.06050822910735979,7367.2,62.84690392798462,14096.8,4432.040834148029,9.8,2.3475755815545347,5.4,1.1737877907772674,5.4,1.1737877907772674,2.9999999999999996,1.1547005383792517,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.468149,1.0701642703885834E-7,10000.0,80.39,39.409991116349104,-7.393209200438154,-92.06660137120481,87.89132448286509,48.462549277266746,79.26272413409066,90.30362389813908,65.10882198908028,10000.0,374032.0,10.0,0.9316240760363397,0.06837592396366021,14824.9,76.86416590323483,30851.999999999996,7457.892225317048,20.2,3.5527766918597936,10.6,1.7763883459298968,10.6,1.7763883459298968,6.0,1.8257418583505538,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.108465,1.9882904824490348E-7,15000.0,82.66666666666667,44.0862459620234,5.797101449275386,-68.17593790426913,89.40677966101696,52.34604105571847,81.55195480897875,92.36739974126779,65.93924373054459,15000.0,554256.0,10.0,0.974329953290362,0.025670046709637958,22319.8,95.7935279650978,48247.2,7741.826554502497,29.400000000000002,5.561774297230456,15.200000000000001,2.780887148615228,15.200000000000001,2.780887148615228,7.9,1.8529256146249728,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.703941,3.176361571686963E-7,20000.0,84.025,47.033652446597664,13.881401617250702,-53.01724137931022,90.29671697998603,54.82821999151704,82.99464046449307,92.8639846743295,66.30584912713631,20000.0,771224.0,10.0,0.8451864348685605,0.15481356513143948,29863.499999999996,99.90134022012808,69100.80000000002,7298.480280167916,41.800000000000004,7.130529043797833,21.400000000000002,3.5652645218989165,21.400000000000002,3.5652645218989165,9.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.258226,4.4946106113493445E-7,25000.0,84.784,48.728151385896396,18.404118404118417,-46.13907030349594,90.79246744444983,56.20538798065853,83.73889360182167,93.77641183250095,66.61743492403521,25000.0,919320.0,10.0,0.9416058248943784,0.05839417510562175,37285.4,102.53151277100719,83420.79999999999,7698.902848241864,49.400000000000006,7.58946638440411,25.200000000000003,3.794733192202055,25.200000000000003,3.794733192202055,10.100000000000001,1.2866839377079191,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.837553,6.084276220761239E-7,30000.0,85.42999999999999,49.949663399749525,21.328293736501067,-41.22778675282724,91.22306780988333,57.14285714285714,84.42668648950009,94.1518578352181,66.81664170038745,30000.0,1060680.0,10.0,0.8174544601386785,0.18254553986132155,44628.3,124.79231635891036,97080.8,8969.08781191141,56.4,8.275801404630785,28.7,4.137900702315393,28.7,4.137900702315393,10.799999999999999,1.6193277068654823,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.392233,7.76042561388264E-7,35000.0,85.7,50.548804805192184,22.714638665843108,-38.91201776297535,91.39871797075048,57.62424858183049,84.69599006274485,94.44907021926173,66.92254109827394,35000.0,1168080.0,10.0,0.9104475921964115,0.08955240780358853,52055.5,131.42911059240666,107470.40000000001,11061.844282638103,61.6,9.617114374327098,31.3,4.808557187163549,31.3,4.808557187163549,11.0,1.4907119849998598,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.949843,9.609428580539922E-7,40000.0,85.9425,50.87057077728603,22.86694101508917,-38.429345150172296,91.56630120138587,57.80745854280783,84.93794868940954,94.8301329394387,67.03880995901706,40000.0,1281768.0,10.0,0.8334783954297403,0.1665216045702596,59301.29999999999,171.96837564570683,118460.0,11820.672062112204,67.2,9.259229629582222,34.1,4.629614814791111,34.1,4.629614814791111,11.8,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.523077,1.1656673287786543E-6,45000.0,86.20666666666666,51.43036822213018,23.859175662414103,-36.47757255936681,91.7388700339389,58.24419778002018,85.1972708395135,95.18469656992085,67.15317703009931,45000.0,1380512.0,10.0,0.9786217963198658,0.02137820368013416,66665.3,154.2134523603213,128030.4,11895.230820234918,71.6,9.383200117467624,36.3,4.691600058733812,36.3,4.691600058733812,12.1,1.6633299933166201,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.048478,1.3676816437869436E-6,50000.0,87.4,50.9496307207913,33.54430379746835,-18.198874296435243,92.59868421052632,57.66129032258065,88.22475934631744,80.48780487804879,64.9447003658432,50000.0,1486256.0,10.0,0.8943902307929904,0.10560976920700958,74160.29999999999,211.29813061170452,137966.4,48262.25199700302,89.80000000000001,10.921945288678609,45.400000000000006,5.4609726443393045,45.400000000000006,5.4609726443393045,11.399999999999999,4.115013163202924,0.0,0.0,0.0,0.0,1.0,0.0
