learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.45285,1.3486609483758607E-9,5000.0,90.28,20.11792303970053,46.00000000000004,4.3307086614173915,94.81101857783472,23.34384858044164,98.84238646482636,14.566929133858267,53.24690498016872,5000.0,11512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.673008,2.5128218034903206E-9,10000.0,90.14,22.09455350855793,45.191773207337384,2.569169960474246,94.71880021424745,25.86466165413534,98.3756119270138,16.99604743083004,53.70560011717676,10000.0,20440.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.821085,3.6442758391300833E-9,15000.0,90.34,25.2315191304111,45.9328358208955,3.592814371257423,94.81629878725003,29.213483146067414,98.1847818033637,19.89354624085163,54.33192616781945,15000.0,29536.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
20000.0,0.964089,4.996525744597117E-9,20000.0,90.455,30.548683590134708,47.55494505494505,6.8326012689116675,94.85042216287665,34.82417207237965,97.93883349117041,24.890190336749633,55.41412812359319,20000.0,36552.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
25000.0,1.108739,6.568210199475288E-9,25000.0,90.55199999999999,31.306301930778023,47.7780234357727,6.8979109184075735,94.90201156867823,35.60523446019629,97.87205627031118,25.739061884115095,55.59026851761607,25000.0,42000.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
30000.0,1.250394,8.38322565994329E-9,30000.0,90.60333333333334,31.936542741436657,47.709144871081435,6.994391290003301,94.9277578854562,36.26497852136559,97.8123030145723,26.459914219729463,55.73872469708599,30000.0,49528.0,23.0,12.0,12.0,6.0,0.0,0.0,1.0
35000.0,1.38361,1.0283657438639138E-8,35000.0,90.55714285714286,32.512616742233945,47.12000000000002,5.894077448747197,94.89614701567447,36.98760724499523,97.57685467479675,27.619589977220954,55.945608552418506,35000.0,55144.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
40000.0,1.486112,1.1887214065839847E-8,40000.0,90.63250000000001,34.23415169427362,47.78428093645488,6.883697813121341,94.9283306939538,38.76450400392221,97.47331554369579,29.47316103379722,56.33526350730354,40000.0,60472.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
45000.0,1.591142,1.366921897356709E-8,45000.0,90.72888888888889,36.14720087068912,48.39188520534392,8.06522697223446,94.97119162990285,40.72179596476272,97.36295783698284,31.577787571617456,56.776039270232715,45000.0,65584.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
50000.0,1.694752,1.5559650152507755E-8,50000.0,90.822,38.500806568153514,49.5048415492958,9.718670076726346,95.00821268125007,43.12802082042384,97.22599461228488,34.23175290182962,57.327512486177724,50000.0,70528.0,31.0,16.0,16.0,8.0,0.0,0.0,1.0
55000.0,1.808173,1.7817348219040366E-8,55000.0,93.66,63.301588242430874,63.729977116704795,33.54297693920337,96.49530127142066,66.80628272251309,96.48463409241653,66.87631027253668,63.906365951474896,55000.0,76944.0,35.0,18.0,18.0,9.0,0.0,0.0,1.0
60000.0,1.904681,1.985343160935574E-8,60000.0,93.91000000000001,63.6080888760983,65.20000000000003,36.49635036496354,96.64592168309741,66.95604991861096,97.04678685986063,64.3378519290928,63.51862695087037,60000.0,81552.0,37.0,19.0,19.0,9.0,0.0,0.0,1.0
65000.0,1.999335,2.1996342984752524E-8,65000.0,93.88666666666666,63.366375238258364,65.18602885345479,37.66145479265799,96.63424481556248,66.71506352087114,97.302091802794,62.47450713800136,63.20138426901648,65000.0,87512.0,41.0,21.0,21.0,10.0,0.0,0.0,1.0
