learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.375645,1.5152247933049996E-9,5000.0,93.36,86.45834268061185,86.23548922056385,83.51539225422046,94.20997558423439,92.21753398968589,90.48576214405361,97.61786600496278,68.57543804982518,5000.0,15592.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.559647,2.680127453058958E-9,10000.0,93.47,86.69868975779556,86.41846921797004,83.675,94.2984370907186,92.35989235989236,90.01500250041674,98.65033741564608,68.67775111272624,10000.0,24472.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
15000.0,0.736376,4.2126591275963515E-9,15000.0,93.96,87.67549943700882,87.46714621662747,84.87731597396095,94.74721706864564,92.8952321204517,90.70825932504441,98.84846461949266,68.83980025111511,15000.0,33520.0,15.0,8.0,8.0,7.0,0.0,0.0,1.0
20000.0,0.930691,6.327192408757077E-9,20000.0,94.39999999999999,88.57399965468994,88.33090227130651,86.04361370716511,95.12534818941504,93.42105263157893,91.26440621346251,99.07799651133816,68.98231706836192,20000.0,42064.0,19.0,10.0,10.0,9.0,0.0,0.0,1.0
25000.0,1.077473,8.107652070207728E-9,25000.0,94.784,89.34799370049497,89.1972496064949,87.01583192273226,95.46750086896071,93.85774846914742,91.82267986092538,99.19354838709677,69.10431033011294,25000.0,46888.0,21.0,11.0,11.0,9.0,0.0,0.0,1.0
30000.0,1.232985,1.0484503426899511E-8,30000.0,94.93666666666667,89.65072737876567,89.52847097752654,87.38267297948336,95.60919207978033,94.02086203503248,92.08240534521158,99.19435215946844,69.15142035863761,30000.0,59080.0,27.0,14.0,14.0,11.0,0.0,0.0,1.0
35000.0,1.363153,1.2643446477337014E-8,35000.0,95.03142857142856,89.84112619627602,89.69786729857819,87.61484224770314,95.69458542744671,94.12678577459558,92.21299742341826,99.23800028485971,69.18290932525856,35000.0,64112.0,29.0,15.0,15.0,12.0,0.0,0.0,1.0
40000.0,1.476213,1.4724550183034603E-8,40000.0,95.1575,90.09310552617876,89.93766233766233,87.9186677477702,95.80962682531097,94.26498889711324,92.39756321455394,99.28277410502682,69.22433411011997,40000.0,71152.0,31.0,16.0,16.0,13.0,0.0,0.0,1.0
45000.0,1.581489,1.67172789428797E-8,45000.0,95.23777777777778,90.25097795019602,90.09338017751479,88.09775062482643,95.88588761542745,94.34728706707816,92.51315107060827,99.3224480728646,69.25236442596615,45000.0,73168.0,31.0,16.0,16.0,13.0,0.0,0.0,1.0
50000.0,1.692163,1.9042381162030827E-8,50000.0,96.12,92.0422727597152,92.00329760923331,90.32901296111666,96.65977961432507,95.37213740458016,93.7854994988306,99.60139511709019,69.53180829949714,50000.0,81208.0,35.0,18.0,18.0,15.0,0.0,0.0,1.0
