learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.480134,2.1392116844654083E-8,5000.0,78.58000000000001,57.31681460847364,55.056651279899306,45.41284403669726,80.4953560371517,76.24750499001995,72.84113381674358,87.43641912512716,63.30038565085341,5000.0,172224.0,10.0,0.5681120998304626,0.43188790016953743,5835.5,62.900715417235084,11488.8,813.3066662294939,5.800000000000001,1.0327955589886442,3.4000000000000004,0.5163977794943221,3.4000000000000004,0.5163977794943221,2.4000000000000004,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.033397,7.351187779257694E-8,10000.0,80.86,62.234032582519326,59.78146669468375,51.532033426183844,82.1488528259653,79.37055399870661,72.82950223251198,93.14444725524918,64.41543865560514,10000.0,364144.0,10.0,0.5453347922068387,0.4546652077931613,11665.3,53.925978072827895,30000.8,2806.218998343976,15.799999999999999,2.14993539954628,8.4,1.07496769977314,8.4,1.07496769977314,6.4,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.638381,1.60210790903204E-7,15000.0,83.06666666666666,66.52794770530367,64.71242011669909,57.43967828418231,84.21772088977258,81.73450309219041,75.06645990252548,95.1607501674481,65.23557504728029,15000.0,553952.0,10.0,0.7439820712473878,0.25601792875261214,17487.6,88.43981004050164,48262.399999999994,4671.150303250318,26.400000000000002,2.6749870196985173,13.700000000000001,1.3374935098492586,13.700000000000001,1.3374935098492586,8.200000000000001,1.0327955589886446,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.144258,2.5620605038065047E-7,20000.0,84.365,69.01686724917599,67.40671252866375,60.76537013801756,85.50234132319532,83.03401877271988,76.67553633793447,95.96187609731628,65.69577848599764,20000.0,733512.0,10.0,0.6409249359570692,0.3590750640429307,23286.800000000003,82.42275845366377,65620.0,3945.3443730835743,35.199999999999996,2.740640638812598,18.099999999999998,1.370320319406299,18.099999999999998,1.370320319406299,9.5,0.9718253158075503,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.575564,3.5591766044704446E-7,25000.0,85.256,70.73677527710672,69.27052938724468,63.162102738356985,86.35219194312795,83.96833681280444,77.79186124082722,96.43356643356643,65.99724003213953,25000.0,893640.0,10.0,0.5677306647336889,0.4322693352663112,29003.899999999998,78.99852319294757,81129.6,7192.104114930482,42.6,4.599516882842759,21.8,2.2997584414213796,21.8,2.2997584414213796,9.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.964752,4.607530501257214E-7,30000.0,85.85000000000001,71.88050590624195,70.49214514110942,64.67798302546181,86.9356476779614,84.56756461991493,78.5626877294471,96.74762934619864,66.20240121695846,30000.0,1041240.0,10.0,0.6864452358515667,0.3135547641484335,34753.4,115.49526204808414,95430.4,5677.815918114993,49.4,4.0879225911349035,25.2,2.0439612955674518,25.2,2.0439612955674518,10.699999999999998,1.1595018087284052,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.284384,5.552983605634007E-7,35000.0,86.27142857142857,72.68428520390202,71.38518342067653,65.79827745747029,87.3509358464738,84.99047262049793,79.20465937843127,96.80495267914324,66.33430712262971,35000.0,1143384.0,10.0,0.578559811416618,0.421440188583382,40525.0,107.51330666996897,105316.8,7364.309076741537,54.199999999999996,5.3499740393970345,27.599999999999998,2.6749870196985173,27.599999999999998,2.6749870196985173,10.999999999999998,1.1547005383792515,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.588689,6.553671707730326E-7,40000.0,86.66,73.44351262937157,72.25746074659457,66.86537506209638,87.70903395218133,85.41518613677364,79.68776159383894,97.00148994288553,66.46225461431557,40000.0,1271136.0,10.0,0.5985353405535788,0.4014646594464212,46255.4,140.9398610913326,117696.0,10794.541501250627,60.0,8.069145624606803,30.5,4.034572812303401,30.5,4.034572812303401,11.6,0.6992058987801012,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.892231,7.642884970270097E-7,45000.0,86.97555555555554,74.05274358022503,72.87704197325188,67.63487768512893,88.02288750383161,85.72750517472299,80.1019079852717,97.17882184066693,66.57340494257798,45000.0,1387064.0,10.0,0.5436746920801424,0.45632530791985765,52055.2,130.4315912653073,128933.59999999999,12508.670230417516,65.2,8.189424074174365,33.1,4.094712037087183,33.1,4.094712037087183,12.3,0.9486832980505139,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.204195,8.849397071264684E-7,50000.0,87.178,74.4374247776068,73.32750873689466,68.03450339050659,88.24467792507839,85.89842289334184,80.37074148296594,97.33798604187439,66.65371848682568,50000.0,1494960.0,10.0,0.5215800288705783,0.47841997112942164,57885.6,176.8421769701895,139347.2,12701.74578377144,70.8,7.14609450445953,35.9,3.573047252229765,35.9,3.573047252229765,12.8,0.9189365834726814,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,4.512629,1.0127896256558597E-6,55000.0,90.34,80.62026079110423,79.34131736526946,75.92223330009969,91.27055846737755,89.18737407656144,84.33533734134937,99.30209371884347,67.75644453854423,55000.0,1602288.0,10.0,0.5356643301882729,0.4643356698117272,63665.600000000006,179.38177784329753,149774.4,11605.009676859387,75.20000000000002,6.82804673550366,38.10000000000001,3.41402336775183,38.10000000000001,3.41402336775183,13.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.832475,1.1534537629514105E-6,60000.0,90.27,80.51142194914623,79.6826059720192,76.03448275862068,91.13762637763003,89.21405609134241,84.22558922558923,99.11330049261083,67.70134594640642,60000.0,1699984.0,10.0,0.435031647810656,0.564968352189344,69440.7,195.38966764448458,159181.6,11165.928524857316,80.6,6.449806198638838,40.8,3.224903099319419,40.8,3.224903099319419,13.4,0.966091783079296,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,5.144352,1.2993837804450758E-6,65000.0,90.03999999999999,80.03256055867773,79.29600886917959,75.35873330034636,90.96188747731398,88.90868596881961,84.12218865391071,98.76298861949529,67.61752311224622,65000.0,1808688.0,10.0,0.7463763435552611,0.253623656444739,75252.5,212.2740628945923,169724.00000000003,11873.677180123166,85.4,8.262364471909157,43.2,4.1311822359545785,43.2,4.1311822359545785,14.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
